,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
0,18,F,XW0DQ7H,Village,Platinum Membership,2017-08-17,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,16:08:02,17,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,0
1,32,F,5K0N3X1,City,Premium Membership,2017-08-28,?,CID21329,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:38:13,16,306.34,12838.38,10.0,,Yes,No,Yes,Solved,Quality Customer Care,0
2,44,F,1F2TCL3,Town,No Membership,2016-11-11,Yes,CID12313,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,14,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,1
3,37,M,VJGJ33N,City,No Membership,2016-10-29,Yes,CID3793,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,11,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,1
4,31,F,SVZXCWB,City,No Membership,2017-09-12,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,20,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,1
5,13,M,PSG1LGF,City,Gold Membership,2016-01-08,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,06:46:07,23,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,No reason specified,0
6,21,M,R3CX1EA,Town,Gold Membership,2015-03-19,Yes,CID24708,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,10,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,0
7,42,M,4UJ1551,,No Membership,2016-07-12,?,CID56614,Credit/Debit Card Offers,Both,Fiber_Optic,07:52:43,19,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,1
8,44,M,0481QNQ,Village,Silver Membership,2016-12-14,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,06:50:10,15,191.07,18362.31,20.0,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
9,45,F,ZHP4MCR,Town,No Membership,2016-11-30,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,19:10:16,10,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,1
10,25,F,OKZ6GDD,Village,Basic Membership,2016-05-22,Yes,CID19275,Gift Vouchers/Coupons,Both,Wi-Fi,05:57:20,14,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,1
11,60,M,KPI9DD5,City,Gold Membership,2016-01-13,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,14,55.53,41672.02,33.02434314076341,798.12,Yes,No,No,Not Applicable,Too many ads,0
12,11,M,G2FTZTL,Town,No Membership,2015-01-31,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,04:42:50,13,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,1
13,34,M,S71G75R,City,Basic Membership,2016-12-07,Yes,CID10856,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:35:05,10,89.76,21318.19,6.0,,No,Yes,No,Not Applicable,Poor Product Quality,1
14,40,M,QAL9ZY2,City,Premium Membership,2016-11-19,No,xxxxxxxx,Without Offers,?,Fiber_Optic,21:01:43,20,100.59,14842.62,26.0,,No,Yes,No,Not Applicable,Poor Website,0
15,16,F,YTBUOEE,Town,Basic Membership,2017-07-09,?,CID35062,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13:48:22,-999,30.14,18792.31,7.0,141.5132013118415,Yes,No,Yes,Unsolved,Too many ads,1
16,57,F,RZ6TPTR,City,No Membership,2016-01-27,No,xxxxxxxx,Without Offers,?,Wi-Fi,20:58:28,5,333.34,47241.32,8.0,,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1
17,11,M,3GHN9RC,Town,Silver Membership,2017-01-02,Yes,CID22930,Gift Vouchers/Coupons,?,Wi-Fi,03:42:26,12,275.13,29072.86,26.0,733.97,Yes,No,No,Not Applicable,Poor Customer Service,0
18,39,M,DYK6E24,Town,No Membership,2017-11-01,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,9,241.74,33170.16,6.0,551.11,Yes,No,Yes,No Information Available,No reason specified,1
19,45,M,XYB1CDG,City,Premium Membership,2016-02-03,No,xxxxxxxx,Without Offers,?,Mobile_Data,11:46:54,14,31.15,66982.61,8.0,164.80076897738957,Yes,No,Yes,Unsolved,Products always in Stock,0
20,33,M,7L21LW8,Village,No Membership,2015-12-03,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:50:35,15,49.86,44289.97,25.0,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1
21,30,M,B6OEP7V,Village,No Membership,2016-07-29,Yes,CID53809,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:55:48,21,30.37,49404.86,23.0,630.61,Yes,No,Yes,No Information Available,Poor Website,1
22,19,F,6EV1QAQ,Town,Platinum Membership,2017-01-22,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,23:04:40,15,483.03,52702.67,3.0,389.3564431980522,No,Yes,Yes,No Information Available,User Friendly Website,0
23,48,M,GX2SOJ5,Town,Basic Membership,2017-11-10,Yes,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,19:10:29,12,72.52,15860.41,3.2073857931601104,529.03,No,Yes,No,Not Applicable,No reason specified,0
24,43,M,X0YDRG9,City,No Membership,2015-08-14,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,06:23:02,17,108.3,21725.57,21.0,225.00442762412771,No,Yes,No,Not Applicable,Poor Website,1
25,29,F,5SWULVO,Town,Silver Membership,2016-04-09,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:56:20,18,300.38,12069.06,7.0,777.31,No,Yes,No,Not Applicable,Too many ads,0
26,10,M,3I9LEFE,City,Gold Membership,2015-11-10,Yes,CID60798,Credit/Debit Card Offers,?,Wi-Fi,17:25:38,1,100.65,8515.5,6.0,757.7,Yes,No,No,Not Applicable,No reason specified,0
27,20,F,UOAPI3L,Village,No Membership,2016-12-08,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:29:25,22,272.31,42743.44,12.0,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1
28,61,F,QUU2V55,Village,Silver Membership,2017-05-14,?,CID29752,Gift Vouchers/Coupons,?,Fiber_Optic,07:48:25,17,-936.7448179192272,29156.1,10.0,710.38,Yes,No,Yes,No Information Available,No reason specified,1
29,10,M,96ZHX6P,Town,Gold Membership,2016-01-12,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,10:16:14,4,127.37,15719.24,10.0,634.88,Yes,No,Yes,Unsolved,Poor Website,1
30,17,F,KX657II,City,No Membership,2015-11-25,?,CID40054,Without Offers,Desktop,Fiber_Optic,21:06:46,20,162.93,31100.95,11.0,633.05,No,Yes,Yes,Solved,Too many ads,1
31,60,M,PBUM281,Town,No Membership,2016-11-02,Yes,CID12220,Without Offers,Desktop,Fiber_Optic,20:03:13,18,498.09,48125.94,27.0,,No,Yes,No,Not Applicable,Poor Product Quality,1
32,11,F,ZYEBIID,,Gold Membership,2016-07-28,Yes,CID26584,Without Offers,Desktop,Wi-Fi,09:36:43,10,185.53,60143.68,4.0,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
33,60,M,EUGPHWZ,City,Gold Membership,2017-07-02,Yes,CID45046,Gift Vouchers/Coupons,Both,Fiber_Optic,02:31:33,11,537.25,1773.49,6.0,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,0
34,12,M,ZQJOXJX,City,Premium Membership,2015-03-02,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,21:45:25,8,198.26,26105.24,7.0,721.36,Yes,No,No,Not Applicable,Poor Customer Service,0
35,52,M,C229QZZ,Town,Silver Membership,2015-10-08,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:17:22,9,119.47,10101.48,28.0,158.54776452544024,Yes,No,No,Not Applicable,Poor Website,1
