tenure_months,monthly_charges,total_purchases,avg_order_value,num_support_tickets,days_since_last_purchase,is_premium_member,num_returns,app_sessions_per_week,email_open_rate,discount_usage_rate,churn
19.1,20.26,7,50.54,1,3.8,0,1,4.35,0.45,0.211,0
12.0,68.94,7,40.55,2,45.2,0,1,3.02,0.281,0.129,0
11.1,54.18,5,28.04,1,16.5,0,1,3.31,0.693,0.447,0
11.1,73.27,6,38.97,1,109.2,0,2,2.87,0.364,0.256,1
37.2,5.0,20,58.38,0,5.9,1,2,1.2,0.544,0.249,0
22.9,76.21,10,14.09,1,4.4,0,2,2.01,0.411,0.586,0
9.0,34.07,6,41.2,0,8.8,0,1,1.8,0.391,0.121,0
19.8,45.45,10,13.12,0,17.2,1,1,6.87,0.568,0.57,1
16.0,66.36,9,33.83,1,1.6,1,1,1.82,0.252,0.142,0
1.7,6.93,0,27.19,1,9.8,0,0,2.91,0.254,0.174,0
5.4,40.44,1,15.55,0,1.4,0,0,3.44,0.272,0.213,1
16.8,63.16,7,57.55,2,21.4,0,0,2.73,0.377,0.57,1
34.9,33.89,19,42.28,0,8.4,1,0,1.72,0.699,0.16,0
11.1,61.45,5,58.49,1,70.6,0,0,4.65,0.277,0.452,1
8.5,57.17,3,25.86,1,2.2,0,0,10.17,0.609,0.232,0
14.5,48.05,7,54.08,1,44.9,0,1,1.31,0.563,0.406,0
8.0,55.78,6,45.07,1,0.5,1,0,3.45,0.386,0.043,0
10.5,68.3,4,18.21,1,21.3,0,0,3.55,0.538,0.158,0
13.2,55.85,2,22.01,0,59.1,0,3,1.86,0.182,0.763,0
5.1,61.72,3,21.59,1,24.6,1,1,7.13,0.299,0.419,0
23.8,29.14,18,41.96,0,0.6,1,0,1.78,0.572,0.114,0
4.3,55.48,1,41.49,0,21.4,1,0,0.39,0.081,0.387,0
3.8,53.81,3,60.48,2,6.8,0,0,4.28,0.738,0.176,0
15.5,65.23,7,23.75,0,26.2,0,0,1.6,0.525,0.207,0
22.5,24.16,10,45.15,3,12.0,0,1,3.29,0.03,0.177,0
15.2,64.32,10,41.24,2,19.3,0,0,1.39,0.219,0.183,0
12.2,29.18,8,26.37,3,0.5,0,0,1.6,0.727,0.54,0
10.5,87.13,8,49.3,3,6.6,1,0,6.85,0.409,0.289,0
9.1,29.01,7,33.1,0,7.2,1,0,1.32,0.452,0.551,0
27.5,24.0,8,40.14,0,11.9,0,0,6.82,0.702,0.339,0
17.0,39.77,6,39.93,0,42.5,0,2,9.41,0.698,0.233,0
9.7,63.87,2,28.71,0,9.2,0,2,3.83,0.338,0.249,1
7.5,51.39,5,43.93,1,24.3,0,1,5.88,0.245,0.19,0
20.7,75.23,14,46.6,0,8.8,0,0,2.33,0.407,0.308,0
27.1,39.59,13,54.51,0,4.5,1,0,3.0,0.403,0.019,0
25.4,36.18,8,32.96,1,12.4,0,0,2.11,0.151,0.384,0
6.4,31.78,1,34.92,1,5.6,0,1,4.54,0.705,0.321,0
10.4,35.53,2,20.29,3,1.1,0,2,0.78,0.366,0.399,1
9.0,19.85,3,30.07,0,4.8,1,1,2.98,0.349,0.194,0
11.5,33.32,3,26.39,0,1.7,1,1,1.97,0.773,0.482,0
23.6,23.21,13,41.69,2,1.0,0,0,3.96,0.623,0.302,0
32.8,57.94,13,49.06,1,26.8,0,1,3.18,0.081,0.264,1
17.4,71.64,9,53.34,1,23.8,0,0,5.4,0.833,0.368,0
7.7,48.99,2,55.43,2,3.3,0,0,2.2,0.319,0.084,0
13.0,32.87,6,47.09,1,0.8,0,0,2.33,0.127,0.425,0
36.9,58.4,12,37.44,0,0.5,0,0,8.3,0.611,0.234,0
14.3,44.29,7,15.27,2,26.3,0,0,2.78,0.386,0.259,0
10.5,63.27,6,44.82,0,11.0,0,0,2.62,0.726,0.078,0
11.2,27.98,3,24.05,1,11.2,1,0,1.82,0.132,0.674,0
17.4,29.23,12,34.22,1,1.3,0,2,7.86,0.183,0.245,0
6.6,58.07,6,36.08,1,32.3,1,0,3.13,0.185,0.29,0
8.8,44.64,5,24.34,0,6.9,1,2,1.97,0.48,0.072,0
25.2,61.68,11,25.97,2,10.9,1,0,0.7,0.388,0.073,0
